SLR_Author,AbstractID,Abstract_Year,Abstract
d,170,2018,"Today, mobile devices are being widely used in personal and professional life. By increasing the popularity of touchscreen platform as an input method in mobiles phones, touch gesture behaviour is becoming more significantly important in interaction with the phone. Due to increasing demand for safer access in touchscreen mobile phones, old strategies like pins, tokens, or passwords have failed to stay abreast of the challenges. By utilizing touch gesture behaviour biometric techniques, the authentication mechanism will improve and would make it more difficult for a shoulder surfer to replay the password, even if he observes the entire gesture. The purpose of this research is to conduct a systematic literature review SLR for the current state-of-the-art in the field of touch features gesture. The results of this research identified thirteen touch features followed by the previous studies (PSs) to authenticate users. However, based on the schemes followed by the previous studies (PSs) there was not any scheme that extract and use all touch features for mobile user authentication. There are number of areas of future work that could be carried out to advance upon this research and within the area of authentication on mobile devices. Each of the pervious study (PS) extracted only one or more features. The maximum number of features used in S14 year 2014 and S15 year 2015 were seven features. Extracting thirteen touch features and use them for the authentication will be one contribution in future work."
a,171,2017,"Since their origin in 1990's, recommender systems have changed the intelligence of both human and web. Many research articles have been published in various domains of recommender systems such as collaborative, content, context, hybrid, location, social, tag, group and others. We include the reputed papers that highlight, analyze and synthesized study only on the group recommender system (GRS) domain. We focused on evaluation techniques."
b,172,2020,"Recently, interest in the effects of radio frequency (RF) on biological systems has increased and is partially due to the advancements and increased implementations of RF into technology. As research in this area has progressed, the reliability and reproducibility of the experiments has not crossed multidisciplinary boundaries. Therefore, as researchers, it is imperative to understand the various exposure systems available as well as the aspects, both electromagnetic and biological, needed to produce a sound exposure experiment. This systematic review examines common RF exposure methods for both in vitro and in vivo studies. For in vitro studies, possible biological limitations are emphasized. The validity of the examined methods, for both in vitro and in vivo, are analyzed by considering the advantages and disadvantages of each. This review offers guidance for researchers to assist in the development of an RF exposure experiment that crosses current multidisciplinary boundaries."
c,173,2019,"Video surveillance systems obtain a great interest as application-oriented studies that have been growing rapidly in the past decade. The most recent studies attempt to integrate computer vision, image processing, and artificial intelligence capabilities into video surveillance applications. Although there are so many achievements in the acquisition of datasets, methods, and frameworks published, there are not many papers that can provide a comprehensive picture of the current state of video surveillance system research. This paper provides a comprehensive and systematic review on the literature from various video surveillance system studies published from 2010 through 2019. Within a selected study extraction process, 220 journal-based publications were identified and analyzed to illustrate the research trends, datasets, methods, and frameworks used in the field of video surveillance, to provide an in-depth explanation about research trends that many topics raised by researchers as a focus in their researches, to provide references on public datasets that are often used by researchers as a comparison and a means of developing a test method, and to give accounts on the improvement and integration of network infrastructure design to meet the demand for multimedia data. In the end of this paper, several opportunities and challenges related to researches in the video surveillance system are mentioned."
d,174,2017,"Recent developments in Learning Analytics have attracted much attention from researchers and practitioners, as well as diverse stakeholders, in exploring the potential for Learning Analytics to enhance learning and teaching practices. Hence, this paper presents a literature review of the use of the Learning Analytics Intervention implemented in various educational institutions in order to improve students' success and engagement in their learning, particularly for at-risk students. The aim of this paper is to provide an overview of how Learning Analytics Intervention has been utilised in the educational institution, the types of theory applied in the intervention and what tools are used in the intervention. Additionally, the application of Learning Analytics Intervention, its purpose, effects and examples are also discussed in this paper. The findings show that most of the Learning Analytics Interventions have an impact on students' success in their learning, although some of them have little impact or no significant effect, and various Learning Analytics tools and strategies are discovered. Lastly, it is suggested that further Learning Analytics Interventions should be developed in order to meet the needs of students."
a,175,2017,"In this review paper, the studies dedicated to identifying the learning of Object Oriented Programming through Serious Games(SGs) and applying different programming approached applied were investigated. This systematic review attempts to gather all evidence that helps answer three specific research questions: identification of SGs developed or incorporated for learning OOP, OOP concepts covered in those games, and programming approaches applied. Three different ways were found as result of the learning through SGs: learning by playing games, learning by creating games and learning by using game related tools. Majority of studies covered all basic OOP concepts. The programming approaches applied includes object first, concept first, GUI first and code first programming approaches. Result indicates learning by playing games is most frequently used and effective strategy followed by learning by using game related tools. The most common programming approach applied is Game as first approach."
b,176,2018,"It has been frequent the discussion about the teaching and learning of Programming, from the initial series to the undergraduate courses. It is noticed that many students have difficulty to learn programming by several reasons: methodology, tools, programming languages, lack of programming logic in basic education, motivation, among others. Thus, this carries out a survey of the state of the art of existing and documented approaches in the literature, through a mapping of published works in the last five years (2012 to 2016) in two of Brazil's leading scientific computing platforms (CEIE and RENOTE), whose focus is to present solutions that address methodologies and tools that can be used in the different teaching modalities. As methodology was used the Systematic Review of Literature. As a result, it was found that, although studies still focus on higher education, in recent years there has been an increasing interest in programming teaching projects for children and teenagers, using gamification and tools such as Scratch. The results also demonstrate the growing interest of researchers in the search for approaches that provide better results in this area."
c,177,2020,"The traditional networks are facing difficulties in managing the services offered by cloud computing, big data, and the Internet of Things as the users have become more dependent on their services. Software-Defined Networking (SDN) has pulled enthusiasm in the integration process of technologies and function as per the user's requirements for both academia and industry, and it has begun to be embraced in actual framework usage. The emergence of SDN has given another idea to empower the focal programmability of the system. Because of the increasing demand and the scarcity of resources, the load balancing issue needs to be addressed efficiently to manage the incoming traffic and resources and to improve network performance. One of the most critical issues is the role of the controller in SDN to balance the load for having a better Quality of Service (QoS). Though there are few survey articles written on load balancing, there is no detail and systematic review conducted in load balancing in SDN. Hence, this paper extends and reviews the discussion with a taxonomy of current emerging load balancing techniques in SDN systematically by categorizing the techniques as conventional and artificial intelligence-based techniques to improve the service quality. The review also includes the study of metrics and parameters which have been used to measure the performance. This review would allow gaining more information on load balancing approaches in SDN and enables the researchers to fill the current research gaps."
d,178,2017,"Background: Logging practice is a critical activity in software development, which aims to offer significant information to understand the runtime behavior of software systems and support better software maintenance. There have been many relevant studies dedicated to logging practice in software engineering recently, yet it lacks a systematic understanding to the adoption state of logging practice in industry and research progress in academia. Objective: This study aims to synthesize relevant studies on the logging practice and portray a big picture of logging practice in software engineering so as to understand current adoption status and identify research opportunities. Method: We carried out a systematic review on the relevant studies on logging practice in software engineering. Results: Our study identified 41 primary studies relevant to logging practice. Typical findings are: (1) Logging practice attracts broad interests among researchers in many concrete research areas. (2) Logging practice occurred in many development types, among which the development of fault tolerance systems is the most adopted type. (3) Many challenges exist in current logging practice in software engineering, e.g., tradeoff between logging overhead and analysis cost, where and what to log, balance between enough logging and system performance, etc. Conclusion: Results show that logging practice plays a vital role in various applications for diverse purposes. However, there are many challenges and problems to be solved. Therefore, various novel techniques are necessary to guide developers conducting logging practice and improve the performance and efficiency of logging practice."
a,179,2018,"While conventional bilateral Single-Master/Single-Slave (SM/SS) teleoperation systems have received considerable attention during the past several decades, multilateral teleoperation is only recently being studied. Unlike an SM/SS system, which consists of one master-slave set, multilateral teleoperation frameworks involve a minimum of three agents in order to remotely perform a task. This paper presents an overview of multilateral teleoperation systems and classifies the existing state-of-the-art architectures based on topologies, applications, and closed-loop stability analysis. For each category, the review discusses control strategies used for various architectures as well as control challenges (e.g., closed-loop instability as a result of a delay in the communication network) for each methodology."
b,180,2017,"Cloud computing is a model to handle large scale distributed and grid computing by using virtualization. It empowered the client to acquire and manage the configurable shared pool of resources by their own or with minimum interference of service provider. However, Cloud services have heterogeneous Virtual Machines (VMs), with specified configuration and oscillate resources utilization, hosted on various servers situated different geographical location which may lead to imbalanced among resource and task scheduling. This results in poor performance, inefficient energy consumption, violation of service level agreement (SLAs), and instability in system. To overcome these issues, Load balancing plays vital role. The aim of load balancing algorithms is to improve the resource utilization, energy saving and deduction of carbon emission. In this paper, we have surveyed the nature inspired load balancing algorithm such as Particle Swarm Optimization (PSO), Ant Colony Optimization (ACO), Artificial Bee Colony (ABC), and Genetic Algorithm (GA), BAT. Our main focus in on Resource Utilization and Energy Saving."
c,181,2017,"Recently, there has been an incredible growth of recommender systems as well as proactive, context-oriented technologies, based on cloud services, ubiquitous computing and service-oriented architecture. This composition of techniques and technologies has made it possible to create intelligent support systems in areas with rapidly changing environment, like car driving. However, such systems are not yet widespread, and available prototypes, in most cases, are only useful for research trials, so their development remains an important issue. Thereby, this paper reviews the existing body of literature on recommender systems and related technologies in order to carry out their systematic analysis and draw the appropriate conclusions on the prospects for their development."
d,182,2020,"This paper has carried out a comprehensive review of the reliability analysis of microgrid. Survey papers on grid-connected microgrids have reported. In addition, the most applicable indices used in the reliability analyses of microgrids have been investigated. Different techniques used for coupling microgrids have been reported. In the same vein, a survey of different models used for comprehensive reliability analysis of microgrids is also reported. In a similar passion, the most frequent indices used in the reliability evaluations of microgrid have been defined. Different microgrids existing globally have also been presented in the paper. Finally, some future research topics in the area of this research have been identified."
a,183,2017,"Requirement Traceability (RT) is a significant method to analyze the effect of changes among various software development lifecycle artifacts. The RT not only improve the change management process but also assure the correctness and quality of the entire system. Although several RT techniques and models have been proposed by the researches, no research study is available yet to the best of our knowledge that analyze and summarize the latest RT developments. Therefore, in this article, a Systematic Literature Review (SLR) is performed to recognize 33 studies (2010-2017) in the area of RT. This leads to identify 7 models, 10 challenges and 14 tools. Subsequently, a comprehensive analysis of models and tools is presented. The findings of this study are highly valuable for the practitioners and researchers of the domain."
b,184,2018,"As the software applications have become important in our daily lives, the importance of the quality of the software has increased. To have guarantee about the quality of the software, it is essential for it to be tested properly. However, testing the software is very costly phase of the software development life cycle and it becomes more difficult with the growing dimension and complications involved with the software. Therefore, there is a need to make the testing process more effective. Testability improvement is one such method that helps in reducing the testing effort. Numerous methodologies for testability assessment have been anticipated in the literature. This paper provides the result of systematic review of the studies associated with software testability. In this paper, we review several journal and conference papers of software testability. In each study, researchers have used different approaches to measure software testability like controllability, observability etc. Thus this review focuses on various software testabilities theories and studies performed till date. In this paper, we have selected 55 primary studies after following a rigorous selection criteria. Results indicate that controllability and observability concept is widely explored for the measurement of software testability. Also, most of the work is based on object-oriented paradigm at the code level."
c,185,2019,"Accurate measurement of energy intake (EI) is important for estimation of energy balance, and, correspondingly, body weight dynamics. Traditional measurements of EI rely on self-report, which may be inaccurate and underestimate EI. The imperfections in traditional methodologies such as 24-hour dietary recall, dietary record, and food frequency questionnaire stipulate development of technology-driven methods that rely on wearable sensors and imaging devices to achieve an objective and accurate assessment of EI. The aim of this research was to systematically review and examine peer-reviewed papers that cover the estimation of EI in humans, with the focus on emerging technology-driven methodologies. Five major electronic databases were searched for articles published from January 2005 to August 2017: Pubmed, Science Direct, IEEE Xplore, ACM library, and Google Scholar. Twenty-six eligible studies were retrieved that met the inclusion criteria. The review identified that while the current methods of estimating EI show promise, accurate estimation of EI in free-living individuals presents many challenges and opportunities. The most accurate result identified for EI (kcal) estimation had an average accuracy of 94%. However, collectively, the results were obtained from a limited number of food items (i.e., 19), small sample sizes (i.e., 45 meal images), and primarily controlled conditions. Therefore, new methods that accurately estimate EI over long time periods in free-living conditions are needed."
a,186,2020,"The objective of this paper is to synthesize the digital interventions initiatives to fight against COVID-19 in Bangladesh and compare with other countries. In order to obtain our research objective, we conducted a systematic review of the online content. We first reviewed the digital interventions that have been used to fight against COVID-19 across the globe. We then reviewed the initiatives that have been taken place in Bangladesh. Thereafter, we present a comparative analysis between the initiatives taken in Bangladesh and the other countries. Our findings show that while Bangladesh is capable to take benefits of the digital intervention approaches, tighter cooperation between government and private organizations as well as universities would be needed to get the most benefits. Furthermore, the government needs to make sure that the privacy of its citizens are protected."
b,187,2020,"In this review, a methodical mapping of Blockchain-based research is performed across the multifaceted realm. The proposed research work is aimed at studying the prevailing research perspectives, obstacles, and upcoming considerations related to Blockchain from a technological point of view to underline the role of this disruptive technology in the current sci-tech ecosystem. For this purpose, the hypothetical fundamentals of countless work published in reputed scientific publications in the past ten years, are integrated into this paper. Following the structured, methodical review and thorough study of the recognized literature, an extensive taxonomy of Blockchain-based research in various domains like security, usability, privacy, smart contracts, throughput, latency, wasted-resources, broadcast protocol, and trustworthiness is being presented, and key presentations, directions, and originating research areas are adopted. Developing on the evaluations, various unexplored research topics are discovered and future prospecting indications that are expected to be of substantial value both for theoreticians and professionals."
c,188,2019,"Cloud storage offers a considerable efficiency and security to the user's data and provide high flexibility to the user. The hackers make attempt of several attacks to steal the data that increase the concern of data security in cloud. The Third Party Auditing (TPA) method is introduced to check the data integrity. There are several TPA methods developed to improve the privacy and efficiency of the data integrity checking method. Various methods involved in TPA, have been analyzed in this review in terms of function, security and overall performance. Merkel Hash Tree (MHT) method provides efficiency and security in checking the integrity of data. The computational overhead of the proof verify is also analyzed in this review. The communication cost of the most TPA methods observed as low and there is a need of improvement in security of the public auditing."
d,189,2019,"This paper reviews the most recent literature on UTAUT/ UTAUT 2 (Unified Theory of Acceptance, and Use of Technology) by focusing on the findings and recommended future research. To meet this aim, the authors conduct an in-depth analysis of the current literature by using the systematic review method. This research paper is conceptual in origin, and it was supplemented by analysis 65 papers from various websites which hosted scientific journals. These papers employed UTAUT and UTAUT 2 as a baseline framework. The researchers focused on findings in these papers and on the core constructs of UTAUT used to predict behavioral intentions. The results from the previous studies confirmed that the four core constructs of UTAUT/UTAUT2 contributed to understanding of the behavioral intention to accept / adopt or use the technology and the performance expectancy (PE) has significantly correlated with technology adoption. Moreover, the previous studies show that UTAUT 2 has been more explanatory in predicting behavioral intentions and should be used for the future works in adopting any new technology."
a,190,2020,"Building Information Modeling (BIM) employs data-rich 3D CAD models for large-scale facility design, construction, and operation. These complex datasets contain a large amount and variety of information, ranging from design specifications to real-time sensor data. They are used by architects and engineers for various analysis and simulations throughout a facility's life cycle. Many techniques from different visualization fields could be used to analyze these data. However, the BIM domain still remains largely unexplored by the visualization community. The goal of this article is to encourage visualization researchers to increase their involvement with BIM. To this end, we present the results of a systematic review of visualization in current BIM practice. We use a novel taxonomy to identify main application areas and analyze commonly employed techniques. From this domain characterization, we highlight future research opportunities brought forth by the unique features of BIM. For instance, exploring the synergies between scientific and information visualization to integrate spatial and non-spatial data. We hope this article raises awareness to interesting new challenges the BIM domain brings to the visualization community."
b,191,2019,"Combining tiny sensors and wireless communication technology, wireless body area network (WBAN) is one of the most promising fields. In other words, the development of wireless body area network has accelerated due to the rapid development of wireless technology. This article presents a detailed survey as well as a comparative study on wireless body area networks (WBANs). Basically, the paper aims to study the significant characteristics, issues and challenges with WBAN in various fields majorly, in medical application. Moreover, recurrent technologies used in WBANs are the ones most focussed upon during the findings. Also, the recent trends and future research scope have been addressed in this article."
c,192,2020,"Software quality prediction is the process of evaluating the software developed for various metrics like defect prediction, bug localisation, effort estimation etc. To evaluate these metrics a myriad of techniques have been developed in the literature, from manual assessment to application of machine learning and statistical testing. These methodologies, however, had lower accuracy in determining SQPMs due to their inability to model the complex relationships in the training data. With the wide emergence of deep learning, not only has the accuracy of the pre-existing models enhanced, but it has also opened doors for new metrics that could be evaluated and automated. This study performs a systematic literature review of research papers published from January 1990 to January 2019 that used deep learning to evaluate software quality prediction metrics (SQPM). The paper identifies 20 primary studies and 7 categories of application of deep learning in SQPM. Models using deep learning techniques significantly outperform other traditional methodologies in almost all studies. The concept and external threats to the models are limited, however the time taken to train these models is large. The techniques, currently predominantly applied for defect prediction, have shown promising results in other diverse software engineering fields like code search and effort estimation by modeling the source code efficiently. There is, hence, scope for incorporating deep learning further with pragmatic use and diverse application. The need to find scalable solutions, however, still persists."
d,193,2020,"The recent state of the art innovations in technology enables the development of low-cost sensor nodes with processing and communication capabilities. The unique characteristics of these low-cost sensor nodes such as limited resources in terms of processing, memory, battery, and lack of tamper resistance hardware make them susceptible to clone node or node replication attack. The deployment of WSNs in the remote and harsh environment helps the adversary to capture the legitimate node and extract the stored credential information such as ID which can be easily re-programmed and replicated. Thus, the adversary would be able to control the whole network internally and carry out the same functions as that of the legitimate nodes. This is the main motivation of researchers to design enhanced detection protocols for clone attacks. Hence, in this paper, we have presented a systematic literature review of existing clone node detection schemes. We have also provided the theoretical and analytical survey of the existing centralized and distributed schemes for the detection of clone nodes in static WSNs with their drawbacks and challenges."
a,194,2019,"Code cloning refers to the duplication of source code. It is the most common way of reusing source code in software development. If a bug is identified in one segment of code, all the similar segments need to be checked for the same bug. Consequently, this cloning process may lead to bug propagation that significantly affects the maintenance cost. By considering this problem, code clone detection (CCD) appears as an active area of research. Consequently, there is a strong need to investigate the latest techniques, trends, and tools in the domain of CCD. Therefore, in this paper, we comprehensively inspect the latest tools and techniques utilized for the detection of code clones. Particularly, a systematic literature review (SLR) is performed to select and investigate 54 studies pertaining to CCD. Consequently, six categories are defined to incorporate the selected studies as per relevance, i.e., textual approaches (12), lexical approaches (8), tree-based approaches (3), metric-based approaches (7), semantic approaches (7), and hybrid approaches (17). We identified and analyzed 26 CCD tools, i.e., 13 existing and 13 proposed/developed. Moreover, 62 open-source subject systems whose source code is utilized for the CCD are presented. It is concluded that there exist several studies to detect type1, type2, type3, and type4 clones individually. However, there is a need to develop novel approaches with complete tool support in order to detect all four types of clones collectively. Furthermore, it is also required to introduce more approaches to simplify the development of a program dependency graph (PDG) while dealing with the detection of the type4 clones."
b,195,2018,"As we know that number of devices connected through internet are growing rapidly, based on an estimation the number of active internet connections will be seven connections per human by the year 2020. These smart objects connect and communicate with each other and create IoT environment. Integration of such smart objects is not an easy task. Although different challenges and issues are associated with IoT, but due to its great applicability researchers have proposed a number of solutions to overcome any difficulty. One of the major concern in IoT environment is security. Various frameworks and solutions were proposed to get over the security issue. In this research paper, we are performing a systematic review on different security frameworks and the major focus of this research paper is on trust based security framework."
c,196,2017,"Presently, educational institutions compile and store huge volumes of data, such as student enrolment and attendance records, as well as their examination results. Mining such data yields stimulating information that serves its handlers well. Rapid growth in educational data points to the fact that distilling massive amounts of data requires a more sophisticated set of algorithms. This issue led to the emergence of the field of educational data mining (EDM). Traditional data mining algorithms cannot be directly applied to educational problems, as they may have a specific objective and function. This implies that a preprocessing algorithm has to be enforced first and only then some specific data mining methods can be applied to the problems. One such preprocessing algorithm in EDM is clustering. Many studies on EDM have focused on the application of various data mining algorithms to educational attributes. Therefore, this paper provides over three decades long (1983-2016) systematic literature review on clustering algorithm and its applicability and usability in the context of EDM. Future insights are outlined based on the literature reviewed, and avenues for further research are identified."
d,197,2020,"Finger print recognition system is a security concern to enter through our nger print. The nger print is identied by nger print scanner like Microsoft Fingerprint Reader. Finger print recognition is regarded as the most reliable and accurate biometric identication system available. Every person is identied by their individual attendance, lock opened through their own unique nger prints. It is most actively studied as a biometric technology. The ngerprint recognition problem is regarded as ngerprint verication and ngerprint identication. The nger print pattern matching is widely used in areas like security lock door system, house entries, mobile screen locks etc,. The goal of this paper is to exhibit the journey of modern fingerprint recognition systems with their merits and demerits."
a,198,2020,"Fusion technologies have rapidly evolved. These technologies are normally customized according to the needs of domains. Despite a large number of publications on intelligence fusion applications for various domains, they are scattered. The aim of this review is to present the state of the art for intelligence fusion applications within a specific domain. We identified three major domains for the purpose, namely robotics, military, and healthcare, during the initial process of the systematic review. These three domains are always in need of superior intelligence. Articles were searched mainly in IEEE Xplore. We limit the range of publications to the year 2014 to 2019, to focus on the most recent publications. We adopt the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) protocol to screen, filter and evaluate qualities of each retrieved article. As a result, we retrieved 675 articles at the initial stage of the search, we conducted screening and filtering process and reviewed 153 articles potential articles, and finally, we excluded 36 articles as they do not comply with our quality assessment criteria. Only 117 articles are included. The results of this study are a list of classified applications within the domains and a number of relevant techniques or approaches used in each classified application. The finding of this review showed that the most published works for the use of intelligence fusion are mainly applications in the robotics domain, where mostly used techniques are Kalman Filter and its variants. Outcomes of this study can be a guideline or an insight for researchers to further develop and implement in this field."
b,199,2020,"Bio-metric frameworks are getting to be progressively important, since they are more reliable and proficient for identity confirmation. One such biometric is gait. The pattern by which an individual walks is mentioned as gait. It's a locomotion that's achieved through the movement of a person's limb. Unlike several approaches gait is a behavioral biometric, that is taken into consideration for user authentication as it shows distinct patterns for every individual. Also, less obtrusion of user has made this biometric method to be more advantageous compared to others. During this survey we tend to concentrate on varied gait approaches, applications and various machine learning techniques which will be used for classification of gait features and its applications."
c,200,2019,"This paper gives a review of the literature on the application of Hidden Markov Models in the field of sentiment analysis. This is done in relation to a research project on semantic representation and the use of probabilistic graphical models for the determination of sentiment in textual data. Relevant articles have been analyzed that correspond mainly to the certain variations of the implementation of HMM and a variety of use cases for the purpose of sentiment classification. Finally, this review presents the grounds for future works that seek to develop techniques for semantic text representations implemented with probabilistic graphical models (Hidden Markov Models) or that through a combination scheme allow for superior classification performance."
d,201,2020,"Techniques predicting the type of diseases affecting plants in their lifetime will be of immense help to agriculturists. This article throws light upon such techniques in the form of a survey that had been carried out comprehensively covering various image based plant leaf diseases. Such diseases are mostly grievous and they strike at any part of the plant. There are huge accumulated losses due to such diseases that bring down the productivity and increase the economic losses in the agricultural industry. Agriculture industry needs to sustain and evolve from such obstacles to be highly profitable. This can be done by precisely monitoring the health and detecting the diseases at appropriate stages of the plant's life time. Technology has spread its wings in every field of day to day life but still its reach in the field of agriculture is not up to the mark. Agriculture industry is still thriving on outdated technical methodologies. Improper diagnosis of plant disease may lead to huge losses in terms of production, time, cost and product quality. The condition of the plant needs to be tracked throughout its growing stages leading to successful cultivation. As part of technological innovation, researchers had been applying the image processing techniques for monitoring as well as diagnosing the plant diseases in its various stages. Appropriate machine learning algorithms are being designed and applied for precisely identifying the various infections on plants throughout its life cycle and the type of treatment that can be afforded for overcoming loss."
a,202,2020,"Robotics is one of the many tools that is making a substantial difference as the world is experiencing the fourth industrial revolution. To ease control over this engineering marvel substantially, Reinforcement Learning (RL) has paved its way in recent years quite remarkably. RL enables robots to become self-aware towards carrying out a specific task followed by user operations. For decades of rigorous endeavor, this research field has gone through numerous groundbreaking developments and it will be the same for the coming days. Therefore, this paper steps in to enlighten the scientific community with a systemic review of the published research papers within the past decade. The bibliographic data that is extracted from the papers are analyzed using an automated tool named Vosviewer with respect to some parameters. Substantial excerpts from the most influential papers are highlighted in this work. Furthermore, this paper points out the global research practice in this field. The paper also generates some intriguing questions and answers them in regards to the research topic. After reading this paper, future researchers will have a firm idea in the RL-based robotics and will be able to incorporate in their own research."
b,203,2018,"Regression testing aims at testing a system under test (SUT) in the presence of changes. As a SUT changes, the number of test cases increases to handle the modifications, and ultimately, it becomes practically impossible to execute all of them within limited testing budget. Test suite reduction (TSR) approaches are widely used to improve the regression testing costs by selecting representative test suite without compromising effectiveness, such as fault-detection capability, within allowed time budget. The aim of this systematic review is to identify state-of-the-art TSR approaches categories, assess the quality of experiments reported on this subject, and provide a set of guidelines for conducting future experiments in this area of research. After applying a two-facet study selection procedure, we finalized 113 most relevant studies from an initial pool of 4230 papers published in the field of TSR between 1993 and 2016. The TSR approaches are broadly classified into four main categories based on the literature including greedy, clustering, search, and hybrid approaches. It is noted that majority of the experiments in TSR do not follow any specific guidelines for planning, conducting, and reporting the experiments, which may pose validity threats related to their results. Thus, we recommend conducting experiments that are better designed for the future. In this direction, an initial set of recommendations is provided that are useful for performing well-designed experiments in the field of TSR. Furthermore, we provide a number of future research directions based on current trends in this field of research."
c,204,2018,"The general approach of the work described is to develop a Systematic Review to assist health professionals, specifically Physiotherapists, collecting data about interactive environments used to assist in the treatment of injuries from stroke. Although the area is well studied, it is necessary to take into account the lack of studies that mix the development of the environments, as well as the interactivity with the patient. In this work a Systematic Review was conducted in which 13 scientific papers published on virtual and interactive environments were studied until June 2017. The main essence of this study is to provide technologists, physicians and physiotherapists a better and continuous approach to offer the patient, ways in which one does not have to sacrifice oneelf or consider such monotonous procedures."
d,205,2019,"Load forecasting is always required for the planning and extension of power system. With the emergence of smart grid, forecasting of load and its management has been a primal concern for a researcher. Load forecasting has been challenging not only for developing countries but also for developed and industrialized nations. The main problems for developing nations are missing necessary data, appropriate load forecasting models and required institutions, these limitations are somewhat less serious for developed nations. Due to limitations in the model structure and missing data forecasted energy demands are often found to deviate from the actual demands. This paper contains a systematic review on the methods of load forecasting which is done on the basis of 126 research papers and the best methods for load forecasting on the basis of time, inputs, outputs and error type have been determined. The methods compared are time series analysis and machine learning algorithms. This meta-analysis has been defined to help researchers to take an effective decision by choosing the right model from their problem."
a,206,2018,"Educational Robotics (ER) has revealed several benefits in the educational context, not only helping the teaching of disciplines, but also making possible the development of several abilities, such as teamwork, problem-solving, and creativity. Among various robotics kits, LEGO  Robotics has been shown one of the best results considering some evaluated criteria (modularity level, hardware, curriculum, price, etc.). Some studies analyze the teaching practices, some compare technologies, and others evaluate the kits in a pedagogical way. However, it is essential to investigate all these contexts together in order to improve the impact produced by the ER in education and to know the best teaching practices associated with the most powerful technologies. The objective of this Research Full Paper is to identify: a) environments and programming languages adopted in the LEGO  Robotics context, b) educational practices applied during classes based on LEGO  Robotics, and c) the educational levels in which robotics has been applied with positive results. To achieve these goals, we planned and carried out a systematic review of the literature. Our main findings are: a) the most widely used environment and programming language are LabVIEW along with the LEGO 's block-based programming language, b) we identified LEGO  Robotics is used for teaching programming, interdisciplinary contents, participation in tournaments, robotics, and computational thinking, c) LEGO  Robotics is used with success by students of different levels, such as K12, undergraduate, and graduated. Finally, we discuss some problems and limitations related to ER and point out that there is no standardization of teaching practices or methodologies for evaluating results, indicating that more research is needed to find the best scenario regarding technologies, methods, and target audience."
b,207,2018,"Vehicle detection and classification from a moving platform is an important factor in Intelligent Transportation System (ITS). Vehicle identification and classification provide input to traffic control measures and traffic management systems. Vehicle identification and classification in congested traffic and busy roads is still facing challenges due to a number of factors like different types of vehicles, the vehicle with almost similar features having different class etc. Improving Transportation System in big cities is facing more challenges due to a number factor like traffic congestion, lane problems. This review paper is on vehicle detection and classification to address the work done in this field and feature demands of classification and identification of vehicles."
c,208,2017,"This paper presents a systematic review of evidence based studies on attention detection and measurement in virtual reality (VR) based learning intervention for children with Autism Spectrum Disorder (ASD). We carried out a search from three different large databases for articles between January 2008 and May 2017. The objective of this paper is to review learning intervention studies featuring measures of attention as an outcome variable for children with ASD in a virtual reality environment thereby addressing four specific questions: what are the types of attention studied in a virtual reality environment for children with ASD, the attentional behaviors, the technology used in detecting and measuring the attentional behaviors and the synthesis of empirical evidence across the reviewed studies. In the context of (VR) environment, there are five types of attention studied in the reviewed articles where nine attentional behaviors were targeted with six different technologies and strategies. The synthesis of the empirical studies reviewed showed that two out of five types of attention are always targeted for attention evaluation, four out of the nine types of attentional behaviors are commonly studied, two out of the six technologies are mostly used and two out of the six strategies of attention assessment are popularly used. The synthesis outcome of this systematic review can serve as an evidence base for researchers who are interested in attention assessment of children with ASD in a virtual reality environment."
